date	time	from	message	spam	debit	credit	otp	bill
Apr-20-2019	20:04	IMHDFCBN IMHDFCBN 	Planning another trip this summer? FLAT 60% OFF at OYO Hotels & Homes. Use Code: HDFCOYO60 with HDFC Bank Cards before 30th Apr Book: resu.io/KAAB7HZME2 T&C  	1	0	0	0	0
May-04-2019	0:05	HSBCSG HSBCSG 	"HSBCSG: 04MAY2019 00:05 Purchase at ZOUK on *** 0044 for SGD30.00. For assistance, call us at 18004722669 or +6564722669.  "	0	1	0	0	0
May-07-2019	18:03	AXaYATRA AXaYATRA 	"Price Drop Alert! Thailand packages now starting @ INR 25,990 PP incl. Flight,Hotels & much more. Extra 10% OFF with SBI Credit Cards. Call: 18605006060  "	1	0	0	0	0
May-12-2019	21:05	AXPZAHUT AXPZAHUT 	The biggest game requires the biggest party. Enjoy the match with Pizza Hut's Tastiest Pan Pizzas now starting @Rs 99. Walk-In or Order @ PH99.in/KJqBpd T&C  	1	0	0	0	0
May-18-2019	18:07	VK075188 VK075188 	[DiDi]408844 is your Verification Code. This code will expire in 5 minutes. Please do not disclose it for security purpose.  	0	0	0	1	0
Apr-05-2019	21:30	IMCKSTRY IMCKSTRY 	"Life is uncertain, eat dessert first!  Order your favorite @ cakestory.in & Get 10% OFF. Code - CAKE10 .  "	1	0	0	0	0
Apr-01-2019	16:36	IMaYATRA IMaYATRA 	Salary credited to your account? Now plan your Travel on Yatra & save upto Rs.5000 during PayDay Sale with PayPal. Click https://iosdauw.app.link/FJPwmipZUT T&C  	1	0	0	0	0
May-15-2019	21:52	HPFABHTL HPFABHTL 	"FabHours: 7 PM - 10 PM Get up to Rs. 5000 OFF on 500+ FabHotels in 50+ cities. Code pre-applied. Hurry, click http://ggl.lc/?b8a4ff/GdaGIEIEad to Book! #StayFab  "	1	0	0	0	0
May-17-2019	21:09	AXARROWA AXARROWA 	ARROW CASHBACK WEEKEND! Shop Rs5999 & 25% Cashback Aristocracy Points. Valid till 19 May T&C bit.ly/Arr2May  	1	0	0	0	0
Apr-03-2019	21:16	BWHDFCSC BWHDFCSC 	Your MF SIP in ADITYA BIRLA SUN LIFE DIGITAL  is due for debit On 07-APR-19. Value : 3000 Trd No: 2979549 Kindly keep sufficient funds in your account. To Track Click here http://bit.ly/2uEEMez  	0	0	0	0	1
May-30-2019	21:01	ADHDFCBN ADHDFCBN 	Share your privileges! Now you can share your HDFC Bank ZERO Balance Salary A/c privileges with your family too! Click:  resu.io/N24Z7HZME2KI  for details.  	1	0	0	0	0
Jun-06-2019	13:23	HSBCSG HSBCSG 	"HSBCSG: 06JUN2019 13:23 Purchase at A POKE THEORY on *** 0044 for SGD9.90. For assistance, call us at 18004722669 or +6564722669.  "	0	1	0	0	0
Apr-24-2019	12:57	HSBCSG HSBCSG 	"HSBCSG: 24APR2019 12:57 Purchase at FOLKS COLLECTIVE on *** 0044 for SGD57.79. For assistance, call us at 18004722669 or +6564722669.  "	0	1	0	0	0
Apr-06-2019	14:33	AD040001 AD040001 	"Special offers for Millennium Citizens! Get up to 25% Off @Sizzler Open House, Organic Wellness & Goli Vada Pav with Sodexo Meal Card. http://bit.ly/2G4Tx5i  "	1	0	0	0	0
May-30-2019	19:34	AXHDFCBN AXHDFCBN 	"CONGRATS! You've got XTRA 2,500 Reward Points. Simply, shop for AC, TV, Mobile, etc. via EasyEMI on Credit Card xx1018 to claim it NOW. resu.io/EGXZ7HZME2u2 T&C  "	1	0	0	0	0
May-22-2019	16:15	VKPZAHUT VKPZAHUT 	Add Flavours of Pizza Hut's Tastiest Pan Pizzas to your mid week party. Now get 2 personal pan pizzas starting @ Rs.99 each. Walk-In/Order @ PH99.in/GhCW0k T&C  	1	0	0	0	0
Apr-19-2019	11:09	ADMYAMEX ADMYAMEX 	A charge of INR 1.00 has been initiated on your American Express Card No. ***81003 at GOOGLE SERVICES on 19/04/2019 at 08:39AM IST.  	0	1	0	0	0
May-08-2019	15:12	IGBFOREX IGBFOREX 	Save on more than just Forex with BookMyForex.com. Buy an International SIM Card and save up to 60% on your overseas voice & data usage: http://bit.ly/bmfSim1  	1	0	0	0	0
May-15-2019	21:21	121 121 	"Roaming info: Now roam freely without fear of bill shocks. In case you have not subscribed for a roaming pack and your usage charges/day exceeds Rs.499, we will automatically activate UNLIMITED Min free incoming calls, 500 MB data, 100 mins of free local/calls to India & 100 SMS for that day without any extra cost. For details, call +919910099100 (International tollfree) or click www.airtel.in/ir (data charges apply). Airtel wishes you a happy stay. Special offer for Airtel customers. Get 25% instant discount on your International Hotel booking with MakeMyTrip. Use Code: IHAIRTEL and book at applinks.makemytrip.com/SMsf/c4W8jxoQVH T&C Apply - bit.ly/2hVm4f7  "	1	0	0	0	0
May-05-2019	1:14	HSBCSG HSBCSG 	"HSBCSG: 06MAY2019 01:14 Purchase at GOING OM on *** 0044 for SGD67.40. For assistance, call us at 18004722669 or +6564722669.  "	0	1	0	0	0
May-27-2019	11:14	AXMYAMEX AXMYAMEX 	"Dear Cardmember,Your balance on American Express card ending in 81003 is 0.00 as of 25/05/2019  "	0	0	0	0	0
May-18-2019	15:12	VK075188 VK075188 	[DiDi]240070 is your Verification Code. This code will expire in 5 minutes. Please do not disclose it for security purpose.  	0	0	0	1	0
May-02-2019	11:50	VKHDFCBK VKHDFCBK 	Rs. 200.00 credited to a/c XXXXXX2392 on 02-05-19 by a/c linked to VPA ssinghdeval@okhdfcbank (UPI Ref No  912209424166).  	0	0	1	0	0
May-09-2019	22:09	ADHDFCBN ADHDFCBN 	Now access MobileBanking App the way you unlock your phone! Set up a Quick Access Pin in 5 simple steps @ resu.io/CR437HZME2vh  and transact with ease.  	1	0	0	0	0
Apr-25-2019	21:41	TXFABIND TXFABIND 	"Fabindia Sale is here!! Shop for your loved ones @discount upto 70% at our Sec-15, Sec-29, MGF Plaza Mall & Ambience Mall Gurgaon Stores. Valid till stocks last  "	1	0	0	0	0
May-17-2019	20:20	BZMYAMEX BZMYAMEX 	A charge of INR 1.00 has been initiated on your American Express Card No. ***81003 at GOOGLE SERVICES on 17/05/2019 at 05:50PM IST.  	0	1	0	0	0
May-10-2019	13:29	HSBCSG HSBCSG 	"HSBCSG: 10MAY2019 13:29 Purchase at GRAB *140998087-9-136 on *** 0044 for SGD13.40. For assistance, call us at 18004722669 or +6564722669.  "	0	1	0	0	0
